"usda_symbol","duration","growth_habit","native_status","usda_group","soil_ph_min","soil_ph_max","soil_texture_adapted","precip_min_in","precip_max_in","temp_min_f","moisture_use","shade_tolerance","drought_tolerance","salinity_tolerance","caco3_tolerance","fire_tolerance","anaerobic_tolerance","nitrogen_fixation","root_depth_min_in","height_mature_ft","growth_rate","lifespan","leaf_retention","bloom_period","foliage_color","flower_color"
"LESA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LESA10",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LESAS","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LESC","Annual","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LESU19",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LETE24",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LETE60",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LETE8","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LETH6","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"LETO2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LETR2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LEUCA","Perennial","Shrub, Tree","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LEUM4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LEVA","Perennial","Forb/herb","N","Monocot",5.7,7,,,,-33,"High","Intolerant","None","None","Low","High","High","None",0,0.1,"Rapid","Short","No","Late Spring","Green","Green"
"LEVI4","Perennial","Graminoid","N, I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LEVI6","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LEVIR","Annual, Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LEWU",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LIAE3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIAL","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIAL2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIAP","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIAU3","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LIBO7","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LICA17","Perennial","Forb/herb","N","Dicot",6,8.5,"Coarse, Medium, Fine",40,55,-8,"High","Intolerant","Low","High","Low","None","Medium","None",10,2,"Moderate","Short","No","Summer","Green","Purple"
"LICAC8","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LICO10","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LICO16",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"LICO3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LICOC","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LICR","Annual, Perennial","Forb/herb","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIDU","Annual, Biennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIDUD","Annual, Biennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIEX2",,,,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"LIFLF2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIGE","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIGL2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIGU","Perennial","Forb/herb",,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"LIHE2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIIN2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIIN3","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LILA6","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LILA7","Perennial","Forb/herb","N, I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LILEL2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LILOL","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LILOL2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LILU2","Perennial","Shrub, Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LILU3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIME7","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIMEM","Annual, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIMI12","Annual","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LIMI5","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIMO2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIMON","Perennial","Forb/herb, Shrub, Subshrub, Tree","I, N, W","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LINDE","Annual, Biennial, Perennial","Forb/herb","N, I, N?","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LINDE3",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LINDS","Perennial","Forb/herb","N, I","Fern",,,,,,,,,,,,,,,,,,,,,,
"LIOD","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LIOT","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIPE2","Perennial","Forb/herb, Subshrub","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIPI2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIPR4","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIPR7","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"LIPU11","Perennial","Forb/herb, Subshrub","N","Dicot",6,8,"Coarse, Medium",8,16,-33,"Low","Tolerant","High","Low","Low","Medium","None","None",14,2,"Moderate","Short","No","Late Spring","Green","White"
"LIPU4","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIPU8","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIRO","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LISC2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LISC4","Annual","Graminoid","N","Monocot",6,9,"Medium, Fine",14,45,52,"High","Tolerant","None","Medium","Medium","High","High","None",8,0.8,"Moderate",,"No","Mid Spring","Green","Green"
"LISC5","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LISCS3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LISE5","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LISPS","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LISU6","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LIYA","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LOAB","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOARA2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOARN3","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOAU","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LOBE4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOBIB2",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"LOBR9","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOCA2","Perennial","Forb/herb","N","Dicot",5.8,7.8,"Medium",28,60,-34,"Low","Tolerant","Medium","None","Medium","Low","Low","None",12,5.9,"Moderate","Moderate","No","Summer","Green","Red"
"LOCO19",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"LODE9","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LODUP2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOFL","Perennial","Shrub, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOFL6",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOFOD","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOFOF","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOGL4","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOGRG3","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOHE10",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"LOHI2","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOHI6",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOJUJ","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOLI60",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LOLOL",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"LOMA","Annual, Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOMA16",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOMA5","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOME4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LONE7",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LONED2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LONI","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOOB","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOPA5","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOPEM2","Annual, Perennial","Graminoid","I","Monocot",5,7.5,"Coarse, Medium, Fine",18,65,-8,"Medium","Intermediate","Low","High","Medium","Low","Low","None",8,2.2,"Rapid","Short","No","Early Spring","Green","Yellow"
"LOPL2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOPR4",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOPR6",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LOPU60",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LOQU","Perennial","Shrub, Subshrub","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"LORA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LORA3",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"LORO7","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOSA7",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOSCS2","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOSPC","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOSTO","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOTON2","Perennial","Shrub","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOUNH","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOUR",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOUT","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LOVIT","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUACC2","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LUAE","Annual","Forb/herb, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUAF","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUALE","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUAN4","Annual","Forb/herb","W, I","Dicot",5.6,7.5,"Coarse, Medium",35,60,21,"Medium","Intolerant","Low","None","None","None","None","High",10,4,"Rapid",,"No","Late Summer","Green","Blue"
"LUARA11","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUARA7","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUARC","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUARL5","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUARN","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUARR","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUARS3","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUBA2","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LUBA4",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"LUBI","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUBI3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUBID","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUBIR","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUCAC3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUCO2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUCO8","Perennial","Graminoid","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LUDEA","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUDED","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUDI","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LUEL","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUEL2","Perennial","Forb/herb","N","Dicot",6,7.2,"Medium, Fine",30,60,-33,"Medium","Intermediate","Low","None","Low","Medium","None","Medium",10,1.5,"Moderate","Short","No","Mid Summer","Green","Purple"
"LUEV","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUEXE","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUFU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUGL","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUGRG2","Perennial","Forb/herb, Subshrub","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUHOH","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUISI",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"LULA5","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LULAV2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LULEB2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LULYF2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LULYL","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUMA4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUNA3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUNO","Perennial","Forb/herb","N","Dicot",6,7,"Coarse, Medium",28,80,-35,"Medium","Intermediate","None","None","Low","Medium","None","Low",12,2,"Rapid","Short","No","Early Summer","Green","Purple"
"LUNON","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUOCO","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUODO","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUORK","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUPA4","Perennial","Graminoid","N","Monocot",4,5.5,"Medium",14,45,-33,"High","Tolerant","Low","None","Low","High","Medium","None",10,2,"Moderate","Moderate","No","Mid Summer","Green","Green"
"LUPAP4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUPE6","Perennial","Forb/herb, Shrub, Subshrub","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUPL","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUPOS","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LURE2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LURU2","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"LUSE4","Perennial","Forb/herb, Subshrub","N","Dicot",7,7.5,"Coarse, Medium",5,11,-28,"Low","Intolerant","High","None","Medium","Medium","None","Low",6,6,"Rapid","Short","No","Early Summer","Green","Blue"
"LUSEH","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUSEL2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LUSEU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYALA7",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYAN2","Perennial","Forb/herb, Subshrub","N","Lycopod",4,5.3,"Coarse, Medium, Fine",32,60,-43,"High","Tolerant","None","None","Low","High","High","None",10,1,"Moderate","Long","No","Late Summer","Green","Green"
"LYAP4","Perennial","Forb/herb, Subshrub","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYAS","Perennial","Forb/herb","N","Dicot",6,8,"Coarse, Medium, Fine",10,36,-38,"High","Tolerant","Low","Low","Medium","High","High","None",10,2.1,"Moderate","Moderate","No","Mid Summer","Green",
"LYBEB","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYBR","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYCO3","Perennial","Forb/herb, Subshrub","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYCOC","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYCOP2","Perennial","Forb/herb, Shrub, Subshrub","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYCU2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYDI3","Perennial","Forb/herb, Subshrub","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYFI2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYFLF","Perennial","Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYFR3","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYGOD2","Perennial","Forb/herb, Vine","I, N","Fern",,,,,,,,,,,,,,,,,,,,,,
"LYIN2","Perennial","Forb/herb, Subshrub","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYLA5","Perennial","Forb/herb, Subshrub","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYPU","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYRA4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYRES","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYRO","Perennial","Nonvascular","N","Lycopod",,,,,,,,,,,,,,,,,,,,,,
"LYSC2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"LYTRP","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAAC5","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"MAANA","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAAP5",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAAQ2","Perennial","Shrub, Subshrub","N","Dicot",5,8,"Coarse, Medium",20,45,-43,"Low","Tolerant","High","None","Low",,"None","None",20,8,"Moderate","Long","Yes","Late Spring","Green","Yellow"
"MAAR12","Perennial","Forb/herb, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAASA2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MABIM","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MABO6",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"MABR10",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"MACA4","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"MACAA","Annual, Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACAC3","Annual, Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACAI3","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACAS3","Annual, Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACI","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACO13","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACO29",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"MACOC","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MACR3","Perennial","Shrub","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MADE3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MADI11","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MADI4","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MADI6","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAEL","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAELE","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAEM2","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAFA","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAFA4","Annual, Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAFE","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAFO","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAFO5",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAFR3","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAGI2","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAGO","Perennial","Forb/herb, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAGR10","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAGR4","Perennial","Tree","I, N","Dicot",4.5,6.5,"Medium, Fine",35,60,7,"High","Tolerant","Low","Medium","Low","Low","None","None",42,100,"Moderate","Long","Yes","Mid Spring","Green","White"
"MAGRG3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAGY2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAHEM","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAHI","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAHY5","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAIN","Annual, Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAIN15",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"MALAC","Annual, Perennial","Forb/herb, Shrub, Subshrub","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MALCO2","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MALPI","Perennial","Shrub, Tree","I, N, N?","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MALVE","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAMA3","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAMA5","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAMAC","Perennial","Tree",,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"MANDR",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"MANGI","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MANO","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAOBO","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAOF",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAOR9","Perennial",,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAPAP",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"MAPI","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAPIG2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAPIP4","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAPL","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"MAPO11",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"MAPO15","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"MAPO2","Perennial","Tree","N","Dicot",5,7.5,"Coarse, Medium, Fine",43,88,40,,"Tolerant","None",,"Medium",,,"None",36,77,"Slow",,"Yes","Indeterminate","Dark Green","White"
